,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
KT983771.1,KT983771.1,169173.0,Choclo virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,[218825],['Oligoryzomys fulvescens'],Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Biota,Biota,Chordata,Rodentia,Rodentia
KT983772.1,KT983772.1,169173.0,Choclo virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,[218825],['Oligoryzomys fulvescens'],Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Biota,Biota,Chordata,Rodentia,Rodentia
KT983773.1,KT983773.1,169173.0,Choclo virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,[218825],['Oligoryzomys fulvescens'],Metazoa,Chordata,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Biota,Biota,Chordata,Rodentia,Rodentia
KU934009.1,KU934009.1,1268011.0,Tigray virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,[485440],['Stenocephalemys albipes'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Stenocephalemys,Biota,Biota,Chordata,Rodentia,Rodentia
KU934010.1,KU934010.1,1268011.0,Tigray virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Orthohantavirus,[485440],['Stenocephalemys albipes'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Stenocephalemys,Biota,Biota,Chordata,Rodentia,Rodentia
MG599946.1,MG599946.1,2116436.0,Wenling yellow goosefish hantavirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Actinovirus,[30790],['Lophius litulon'],Metazoa,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Biota,Biota,Chordata,Fish,Fish
MG599947.1,MG599947.1,2116436.0,Wenling yellow goosefish hantavirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Actinovirus,[30790],['Lophius litulon'],Metazoa,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Biota,Biota,Chordata,Fish,Fish
MG599948.1,MG599948.1,2116436.0,Wenling yellow goosefish hantavirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Actinovirus,[30790],['Lophius litulon'],Metazoa,Chordata,Actinopteri,Lophiiformes,Lophiidae,Lophius,Biota,Biota,Chordata,Fish,Fish
MG599949.1,MG599949.1,2116435.0,Wenling red spikefish hantavirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Actinovirus,[245701],['Triacanthodes anomalus'],Metazoa,Chordata,Actinopteri,Tetraodontiformes,Triacanthodidae,Triacanthodes,Biota,Biota,Chordata,Fish,Fish
MG599950.1,MG599950.1,2116435.0,Wenling red spikefish hantavirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Hantaviridae,Actinovirus,[245701],['Triacanthodes anomalus'],Metazoa,Chordata,Actinopteri,Tetraodontiformes,Triacanthodidae,Triacanthodes,Biota,Biota,Chordata,Fish,Fish
NC_002323.1,NC_002323.1,66266.0,Rice grassy stunt tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002324.1,NC_002324.1,66266.0,Rice grassy stunt tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002325.1,NC_002325.1,66266.0,Rice grassy stunt tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002326.1,NC_002326.1,66266.0,Rice grassy stunt tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002327.1,NC_002327.1,66266.0,Rice grassy stunt tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002328.1,NC_002328.1,66266.0,Rice grassy stunt tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003616.1,NC_003616.1,11612.0,Impatiens necrotic spot virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,[35939],['Impatiens'],Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003619.1,NC_003619.1,198612.0,Groundnut bud necrosis virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,[3818],['Arachis hypogaea'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003620.1,NC_003620.1,198612.0,Groundnut bud necrosis virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,[3818],['Arachis hypogaea'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003624.1,NC_003624.1,11612.0,Impatiens necrotic spot virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,[35939],['Impatiens'],Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003625.1,NC_003625.1,11612.0,Impatiens necrotic spot virus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Tospoviridae,Orthotospovirus,[35939],['Impatiens'],Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Balsaminaceae,Impatiens,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003754.1,NC_003754.1,12331.0,Rice stripe tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,"[4556, 4555, 66017, 4577, 38413, 4565, 4513, 4498, 4530]","['Setaria viridis', 'Setaria italica', 'Digitaria', 'Zea mays', 'Eragrostis', 'Triticum aestivum', 'Hordeum vulgare', 'Avena sativa', 'Oryza sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003755.1,NC_003755.1,12331.0,Rice stripe tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,"[4556, 4555, 66017, 4577, 38413, 4565, 4513, 4498, 4530]","['Setaria viridis', 'Setaria italica', 'Digitaria', 'Zea mays', 'Eragrostis', 'Triticum aestivum', 'Hordeum vulgare', 'Avena sativa', 'Oryza sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003776.1,NC_003776.1,12331.0,Rice stripe tenuivirus,Orthornavirae,Negarnaviricota,Ellioviricetes,Bunyavirales,Phenuiviridae,Tenuivirus,"[4556, 4555, 66017, 4577, 38413, 4565, 4513, 4498, 4530]","['Setaria viridis', 'Setaria italica', 'Digitaria', 'Zea mays', 'Eragrostis', 'Triticum aestivum', 'Hordeum vulgare', 'Avena sativa', 'Oryza sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
