,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AF057136.1,AF057136.1,81832.0,Grapevine rupestris stem pitting-associated virus 1,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Foveavirus,"[29760, 103352, 96939]","['Vitis vinifera', 'Vitis rupestris', 'Vitis riparia']",Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Biota,Biota,Viridiplantae,,Viridiplantae
AY646511.1,AY646511.1,33759.0,Citrus tatter leaf virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Capillovirus,[2706],['Citrus'],Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Biota,Biota,Viridiplantae,,Viridiplantae
AY800279.1,AY800279.1,315713.0,Nandina mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,[41775],['Nandina'],Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Berberidaceae,Nandina,Biota,Biota,Viridiplantae,,Viridiplantae
EU020009.1,EU020009.1,106118.0,Potato rough dwarf virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Carlavirus,[200313],['Nicotiana occidentalis'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
EU779803.2,EU779803.2,544743.0,Tomato yellow blotch virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Unclassified,[4081],['Solanum lycopersicum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
JX559646.1,JX559646.1,68893.0,Grapevine Rupestris stem pitting virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Foveavirus,[29760],['Vitis vinifera'],Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Biota,Biota,Viridiplantae,,Viridiplantae
MZ291906.1,MZ291906.1,51617.0,Grapevine virus D,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Vitivirus,"[29760, 200313]","['Vitis vinifera', 'Nicotiana occidentalis']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001361.2,NC_001361.2,12167.0,Potato virus M,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Betaflexiviridae,Carlavirus,[4113],['Solanum tuberosum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001441.1,NC_001441.1,12180.0,Narcissus mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,[39639],['Narcissus pseudonarcissus'],Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Amaryllidaceae,Narcissus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001480.1,NC_001480.1,12151.0,Eggplant mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,"[45840, 4111, 4081]","['Solanum seaforthianum', 'Solanum melongena', 'Solanum lycopersicum']",Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001483.1,NC_001483.1,12179.0,Foxtail mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,"[4556, 4555]","['Setaria viridis', 'Setaria italica']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Setaria,Biota,Biota,Viridiplantae,,Viridiplantae
