,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AC_000192.1,AC_000192.1,11144.0,Murine hepatitis virus strain JHM,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
AF046869.1,AF046869.1,1965066.0,Porcine reproductive and respiratory syndrome virus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Arteriviridae,Betaarterivirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
AF201929.1,AF201929.1,76344.0,Murine hepatitis virus strain 2,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
AY518894.1,AY518894.1,270642.0,Human group 1 coronavirus associated with pneumonia,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
AY588319.1,AY588319.1,288959.0,PRRSV LV4.2.1,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Arteriviridae,Betaarterivirus,[9534],['Chlorocebus aethiops'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Biota,Biota,Chordata,Primates,Primates
AY646283.1,AY646283.1,284515.0,Avian infectious bronchitis virus partridge/GD/S14/2003,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Gammacoronavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
D13096.1,D13096.1,11153.0,Canine coronavirus,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9615],['Canis lupus familiaris'],Metazoa,Chordata,Mammalia,Carnivora,Canidae,Canis,Biota,Biota,Chordata,Carnivora,Carnivora
DQ412042.1,DQ412042.1,347537.0,Bat SARS CoV Rf1/2004,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[59479],['Rhinolophus ferrumequinum'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
DQ412043.1,DQ412043.1,347536.0,Bat SARS CoV Rm1/2004,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,[196889],['Rhinolophus macrotis'],Metazoa,Chordata,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Biota,Biota,Chordata,Chiroptera,Chiroptera
DQ811787.1,DQ811787.1,398815.0,Porcine respiratory coronavirus ISU-1,Orthornavirae,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Alphacoronavirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
