,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AB187566.2,AB187566.2,11786.0,Murine leukemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,"[10116, 10090]","['Rattus norvegicus', 'Mus musculus']",Metazoa,Chordata,Mammalia,Rodentia,Muridae,Unclassified,Biota,Biota,Chordata,Rodentia,Rodentia
AB611707.1,AB611707.1,980635.0,Simian retrovirus Y,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Unclassified,[9542],['Macaca fuscata'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
AF033809.1,AF033809.1,11868.0,Avian myelocytomatosis virus 29,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
AF126467.1,AF126467.1,39068.0,Simian retrovirus 2,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9544],['Macaca mulatta'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
DQ093792.1,DQ093792.1,28332.0,Human T-lymphotropic virus 3,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
DQ241301.1,DQ241301.1,356663.0,Xenotropic MuLV-related virus VP35,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
DQ365814.1,DQ365814.1,11864.0,Avian leukosis virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
DQ822073.1,DQ822073.1,1755696.0,Dioscorea bacilliform SN virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[55578],['Dioscorea sansibarensis'],Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Biota,Biota,Viridiplantae,,Viridiplantae
EU293537.2,EU293537.2,507757.0,Caprine arthritis encephalitis virus Roccaverano,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
FJ195346.1,FJ195346.1,621214.0,Caprine arthritis encephalitis virus Ov496,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
HM210570.1,HM210570.1,254355.0,Small ruminant lentivirus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
HQ154630.1,HQ154630.1,438045.0,Xenotropic MuLV-related virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
HQ540591.1,HQ540591.1,194958.0,Porcine endogenous retrovirus A,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
HQ540595.1,HQ540595.1,194959.0,Porcine endogenous retrovirus B,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
JF908815.1,JF908815.1,11837.0,Xenotropic murine leukemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
JN032736.1,JN032736.1,1077151.0,Dahlia common mosaic virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,[101596],['Dahlia pinnata'],Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Dahlia,Biota,Biota,Viridiplantae,,Viridiplantae
JX245014.1,JX245014.1,12721.0,Human immunodeficiency virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
KC802224.1,KC802224.1,11961.0,Lymphoproliferative disease virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9103],['Meleagris gallopavo'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Biota,Biota,Chordata,Aves,Aves
KF313137.1,KF313137.1,1400257.0,Duck infectious anemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[8839],['Anas platyrhynchos'],Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anas,Biota,Biota,Chordata,Aves,Aves
KP284572.1,KP284572.1,1401444.0,Avian leukosis virus ev/J,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
M11841.1,M11841.1,11942.0,Simian retrovirus 1,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9544],['Macaca mulatta'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
M14008.1,M14008.1,11870.0,Avian carcinoma Mill Hill virus 2,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9091],['Coturnix coturnix'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Coturnix,Biota,Biota,Chordata,Aves,Aves
M23385.1,M23385.1,11857.0,Squirrel monkey retrovirus-H,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9520],['Saimiri'],Metazoa,Chordata,Mammalia,Primates,Cebidae,Saimiri,Biota,Biota,Chordata,Primates,Primates
NC_000858.1,NC_000858.1,194440.0,Primate T-lymphotropic virus 1,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,"[9443, 9534]","['Primates', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Unclassified,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_001343.1,NC_001343.1,10653.0,Commelina yellow mottle virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[4743],['Commelina'],Viridiplantae,Streptophyta,Magnoliopsida,Commelinales,Commelinaceae,Commelina,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001362.1,NC_001362.1,11795.0,Friend murine leukemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001403.1,NC_001403.1,11885.0,Fujinami sarcoma virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_001407.1,NC_001407.1,11886.0,Rous sarcoma virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_001414.1,NC_001414.1,11901.0,Bovine leukemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,[9913],['Bos taurus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001450.1,NC_001450.1,11665.0,Equine infectious anemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,"[9796, 9793]","['Equus caballus', 'Equus asinus']",Metazoa,Chordata,Mammalia,Perissodactyla,Equidae,Equus,Biota,Biota,Chordata,Other Mammalia,Other Mammalia
NC_001452.1,NC_001452.1,2169971.0,Visna-maedi virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001463.1,NC_001463.1,11660.0,Caprine arthritis encephalitis virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001482.1,NC_001482.1,11673.0,Feline immunodeficiency virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,"[379583, 9681]","['Feliformia', 'Felidae']",Metazoa,Chordata,Mammalia,Carnivora,Unclassified,Unclassified,Biota,Biota,Chordata,Carnivora,Carnivora
NC_001494.1,NC_001494.1,11746.0,Jaagsiekte sheep retrovirus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
NC_001497.2,NC_001497.2,10641.0,Cauliflower mosaic virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Caulimovirus,"[3702, 3725, 3705]","['Arabidopsis thaliana', 'Raphanus', 'Brassica']",Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001499.1,NC_001499.1,11788.0,Abelson murine leukemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001501.1,NC_001501.1,11801.0,Moloney murine leukemia virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001502.1,NC_001502.1,11809.0,Moloney murine sarcoma virus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
NC_001511.1,NC_001511.1,11663.0,Ovine lentivirus,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
