,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AJ276479.1,AJ276479.1,255721.0,Cucumber mosaic virus (strain Mf),Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Cucumovirus,[1045115],['Silene firma'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Biota,Biota,Viridiplantae,,Viridiplantae
AJ276480.1,AJ276480.1,255721.0,Cucumber mosaic virus (strain Mf),Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Cucumovirus,[1045115],['Silene firma'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Biota,Biota,Viridiplantae,,Viridiplantae
AY297819.1,AY297819.1,184610.0,Grapevine leafroll-associated virus 9,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Closteroviridae,Ampelovirus,[29760],['Vitis vinifera'],Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Biota,Biota,Viridiplantae,,Viridiplantae
D84000.1,D84000.1,12240.0,Sunn-hemp mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[3917, 3885, 40336, 35936, 3829]","['Vigna unguiculata', 'Phaseolus vulgaris', 'Mucuna', 'Lablab purpureus', 'Crotalaria juncea']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
FR878069.1,FR878069.1,1052902.0,Tobacco mosaic virus strain Ohio V,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,[4097],['Nicotiana tabacum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
JX266782.1,JX266782.1,1263294.0,Grapevine leafroll-associated virus 3m,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Closteroviridae,Ampelovirus,[29760],['Vitis vinifera'],Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Biota,Biota,Viridiplantae,,Viridiplantae
KF981618.1,KF981618.1,48542.0,Kyzylagach virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,[545656],['Culex modestus'],Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Culex,Biota,Biota,Invertebrate,,Invertebrate
NC_001367.1,NC_001367.1,12242.0,Tobacco mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,[4097],['Nicotiana tabacum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001368.1,NC_001368.1,12294.0,Pea early-browning virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobravirus,"[3888, 3885]","['Pisum sativum', 'Phaseolus vulgaris']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001495.1,NC_001495.1,12321.0,Alfalfa mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Alfamovirus,"[145753, 3917, 3916, 60916, 157662, 3888, 3885, 3879, 3869, 3864, 35936, 3847, 3827, 83862, 4113, 4081, 4072, 4097, 41386, 23113, 85293, 4236, 4045]","['Malva parviflora', 'Vigna unguiculata', 'Vigna radiata var. radiata', 'Trifolium incarnatum', 'Teramnus repens', 'Pisum sativum', 'Phaseolus vulgaris', 'Medicago sativa', 'Lupinus', 'Lens culinaris', 'Lablab purpureus', 'Glycine max', 'Cicer arietinum', 'Astragalus glycyphyllos', 'Solanum tuberosum', 'Solanum lycopersicum', 'Capsicum annuum', 'Nicotiana tabacum', 'Caryopteris incana', 'Philadelphus', 'Viburnum opulus', 'Lactuca sativa', 'Apium graveolens']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001661.1,NC_001661.1,12162.0,Citrus tristeza virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Closteroviridae,Closterovirus,"[159062, 37656, 85571, 159033, 231460, 3684]","['Pamburus missionis', 'Citrus x paradisi', 'Citrus reticulata', 'Citrus aurantiifolia', 'Afraegle paniculata', 'Passiflora']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001728.1,NC_001728.1,12238.0,Odontoglossum ringspot virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[154697, 14366]","['Odontoglossum', 'Cymbidium']",Viridiplantae,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001801.1,NC_001801.1,12235.0,Cucumber green mottle mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[3668, 3659, 3653]","['Lagenaria siceraria', 'Cucumis sativus', 'Citrullus']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001836.1,NC_001836.1,217686.0,Little cherry virus 1,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Closteroviridae,Velarivirus,[42229],['Prunus avium'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001873.1,NC_001873.1,29272.0,Turnip vein-clearing virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[3711, 3700, 4097]","['Brassica rapa', 'Brassicaceae', 'Nicotiana tabacum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002024.2,NC_002024.2,12321.0,Alfalfa mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Alfamovirus,"[145753, 3917, 3916, 60916, 157662, 3888, 3885, 3879, 3869, 3864, 35936, 3847, 3827, 83862, 4113, 4081, 4072, 4097, 41386, 23113, 85293, 4236, 4045]","['Malva parviflora', 'Vigna unguiculata', 'Vigna radiata var. radiata', 'Trifolium incarnatum', 'Teramnus repens', 'Pisum sativum', 'Phaseolus vulgaris', 'Medicago sativa', 'Lupinus', 'Lens culinaris', 'Lablab purpureus', 'Glycine max', 'Cicer arietinum', 'Astragalus glycyphyllos', 'Solanum tuberosum', 'Solanum lycopersicum', 'Capsicum annuum', 'Nicotiana tabacum', 'Caryopteris incana', 'Philadelphus', 'Viburnum opulus', 'Lactuca sativa', 'Apium graveolens']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002025.1,NC_002025.1,12321.0,Alfalfa mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Alfamovirus,"[145753, 3917, 3916, 60916, 157662, 3888, 3885, 3879, 3869, 3864, 35936, 3847, 3827, 83862, 4113, 4081, 4072, 4097, 41386, 23113, 85293, 4236, 4045]","['Malva parviflora', 'Vigna unguiculata', 'Vigna radiata var. radiata', 'Trifolium incarnatum', 'Teramnus repens', 'Pisum sativum', 'Phaseolus vulgaris', 'Medicago sativa', 'Lupinus', 'Lens culinaris', 'Lablab purpureus', 'Glycine max', 'Cicer arietinum', 'Astragalus glycyphyllos', 'Solanum tuberosum', 'Solanum lycopersicum', 'Capsicum annuum', 'Nicotiana tabacum', 'Caryopteris incana', 'Philadelphus', 'Viburnum opulus', 'Lactuca sativa', 'Apium graveolens']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002026.1,NC_002026.1,12302.0,Brome mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Bromovirus,[15371],['Bromus inermis'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Bromus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002027.1,NC_002027.1,12302.0,Brome mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Bromovirus,[15371],['Bromus inermis'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Bromus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002036.1,NC_002036.1,12294.0,Pea early-browning virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobravirus,"[3888, 3885]","['Pisum sativum', 'Phaseolus vulgaris']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002038.1,NC_002038.1,12313.0,Peanut stunt virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Cucumovirus,"[3917, 4097, 81866]","['Vigna unguiculata', 'Nicotiana tabacum', 'Nicotiana clevelandii']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002039.1,NC_002039.1,12313.0,Peanut stunt virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Cucumovirus,"[3917, 4097, 81866]","['Vigna unguiculata', 'Nicotiana tabacum', 'Nicotiana clevelandii']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002040.1,NC_002040.1,12313.0,Peanut stunt virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Cucumovirus,"[3917, 4097, 81866]","['Vigna unguiculata', 'Nicotiana tabacum', 'Nicotiana clevelandii']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002041.1,NC_002041.1,28375.0,Soil-borne wheat mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,"[4564, 4513]","['Triticum', 'Hordeum vulgare']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002042.1,NC_002042.1,28375.0,Soil-borne wheat mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,"[4564, 4513]","['Triticum', 'Hordeum vulgare']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002330.1,NC_002330.1,100887.0,Soil-borne cereal mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,[4565],['Triticum aestivum'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002351.1,NC_002351.1,100887.0,Soil-borne cereal mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,[4565],['Triticum aestivum'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002356.1,NC_002356.1,83544.0,Chinese wheat mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,[4564],['Triticum'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002357.1,NC_002357.1,45103.0,Oat golden stripe virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,"[50455, 4498]","['Avena sp.', 'Avena sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002358.1,NC_002358.1,45103.0,Oat golden stripe virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Furovirus,"[50455, 4498]","['Avena sp.', 'Avena sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Avena,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002633.1,NC_002633.1,146499.0,Cucumber fruit mottle mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[869827, 3659]","['Cucumis sativus var. sativus', 'Cucumis sativus']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002692.1,NC_002692.1,12253.0,Tomato mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[46246, 4081, 4071, 4101, 4151, 13707]","['Delphinium', 'Solanum lycopersicum', 'Capsicum', 'Petunia', 'Antirrhinum majus', 'Tagetes']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002792.2,NC_002792.2,51680.0,Ribgrass mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,"[203579, 75806, 65952, 65951, 52853, 4097, 29818, 39414, 49450]","['Sisymbrium loeselii', 'Eutrema japonicum', 'Rorippa sylvestris', 'Rorippa amphibia', 'Silene latifolia subsp. alba', 'Nicotiana tabacum', 'Plantago major', 'Plantago lanceolata', 'Digitalis lanata']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003355.1,NC_003355.1,1169032.0,Wasabi mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Tobamovirus,[75806],['Eutrema japonicum'],Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Eutrema,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003451.1,NC_003451.1,134632.0,American plum line pattern virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,[88123],['Prunus salicina'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003452.1,NC_003452.1,134632.0,American plum line pattern virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,[88123],['Prunus salicina'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003453.1,NC_003453.1,134632.0,American plum line pattern virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,[88123],['Prunus salicina'],Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003465.1,NC_003465.1,12319.0,Apple mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,"[3750, 13450, 3504, 3659]","['Malus domestica', 'Corylus', 'Betula', 'Cucumis sativus']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003478.1,NC_003478.1,12327.0,Barley stripe mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Hordeivirus,"[4565, 4513]","['Triticum aestivum', 'Hordeum vulgare']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003480.1,NC_003480.1,12319.0,Apple mosaic virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,"[3750, 3659]","['Malus domestica', 'Cucumis sativus']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003510.1,NC_003510.1,71972.0,Beet virus Q,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,[161934],['Beta vulgaris'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003512.1,NC_003512.1,71972.0,Beet virus Q,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,[161934],['Beta vulgaris'],Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Beta,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003518.1,NC_003518.1,46436.0,Beet soil-borne virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,"[63459, 161934]","['Chenopodium quinoa', 'Beta vulgaris']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003519.1,NC_003519.1,46436.0,Beet soil-borne virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,"[63459, 161934]","['Chenopodium quinoa', 'Beta vulgaris']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003520.1,NC_003520.1,46436.0,Beet soil-borne virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Virgaviridae,Pomovirus,"[63459, 161934]","['Chenopodium quinoa', 'Beta vulgaris']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003541.1,NC_003541.1,12303.0,Cowpea chlorotic mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Bromovirus,"[3917, 3847]","['Vigna unguiculata', 'Glycine max']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003543.1,NC_003543.1,12303.0,Cowpea chlorotic mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Bromovirus,"[3917, 3847]","['Vigna unguiculata', 'Glycine max']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003546.1,NC_003546.1,37126.0,Citrus leaf rugose virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,[2706],['Citrus'],Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003547.1,NC_003547.1,37126.0,Citrus leaf rugose virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Bromoviridae,Ilarvirus,[2706],['Citrus'],Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,Biota,Biota,Viridiplantae,,Viridiplantae
