,y|acc,y|virus taxid,y|virus name,y|len,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AB187566.2,AB187566.2,11786,Murine leukemia virus,8260,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,"[10116, 10090]","['Rattus norvegicus', 'Mus musculus']",Metazoa,Chordata,Mammalia,Rodentia,Muridae,Unclassified,Biota,Biota,Chordata,Rodentia,Rodentia
AB611707.1,AB611707.1,980635,Simian retrovirus Y,8145,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Unclassified,[9542],['Macaca fuscata'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
AF033809.1,AF033809.1,11868,Avian myelocytomatosis virus 29,3392,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
AF126467.1,AF126467.1,39068,Simian retrovirus 2,8105,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Betaretrovirus,[9544],['Macaca mulatta'],Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Biota,Biota,Chordata,Primates,Primates
DQ093792.1,DQ093792.1,28332,Human T-lymphotropic virus 3,8917,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Deltaretrovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
DQ241301.1,DQ241301.1,356663,Xenotropic MuLV-related virus VP35,8185,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Gammaretrovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
DQ365814.1,DQ365814.1,11864,Avian leukosis virus,7704,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Alpharetrovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
DQ822073.1,DQ822073.1,1755696,Dioscorea bacilliform SN virus,7261,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Caulimoviridae,Badnavirus,[55578],['Dioscorea sansibarensis'],Viridiplantae,Streptophyta,Magnoliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,Biota,Biota,Viridiplantae,,Viridiplantae
EU293537.2,EU293537.2,507757,Caprine arthritis encephalitis virus Roccaverano,8418,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9925],['Capra hircus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
FJ195346.1,FJ195346.1,621214,Caprine arthritis encephalitis virus Ov496,9136,Pararnavirae,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,[9940],['Ovis aries'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
