,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_011065.1,NC_011065.1,544686.0,Epirus cherry virus,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3754, 63459, 66262, 4100]","['Prunus', 'Chenopodium quinoa', 'Chenopodium amaranticolor', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011066.1,NC_011066.1,544686.0,Epirus cherry virus,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3754, 63459, 66262, 4100]","['Prunus', 'Chenopodium quinoa', 'Chenopodium amaranticolor', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011067.1,NC_011067.1,544686.0,Epirus cherry virus,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3754, 63459, 66262, 4100]","['Prunus', 'Chenopodium quinoa', 'Chenopodium amaranticolor', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011068.1,NC_011068.1,186786.0,Ourmia melon virus,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3656, 4100]","['Cucumis melo', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_011070.1,NC_011070.1,186786.0,Ourmia melon virus,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3656, 4100]","['Cucumis melo', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_013112.1,NC_013112.1,561576.0,Cassava virus C,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3983, 4100]","['Manihot esculenta', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_013113.1,NC_013113.1,561576.0,Cassava virus C,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Ourmiavirus,"[3983, 4100]","['Manihot esculenta', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_033729.1,NC_033729.1,1779340.0,Phomopsis longicolla RNA virus 1,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Penoulivirus,[54899],['Diaporthe longicolla'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Biota,Biota,Fungi,,Fungi
NC_043521.1,NC_043521.1,1719263.0,Soybean leaf-associated ourmiavirus 1,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Scleroulivirus,[3847],['Glycine max'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycine,Biota,Biota,Viridiplantae,,Viridiplantae
NC_055143.1,NC_055143.1,1708387.0,Rhizoctonia solani ourmia-like virus 1,Orthornavirae,Lenarviricota,Miaviricetes,Ourlivirales,Botourmiaviridae,Magoulivirus,[456999],['Rhizoctonia solani'],Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Biota,Biota,Fungi,,Fungi
