,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AB819611.1,AB819611.1,489460.0,Hepatitis B virus genotype B,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
AF193863.1,AF193863.1,113194.0,Orangutan hepadnavirus,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,"[9600, 9601]","['Pongo pygmaeus', 'Pongo abelii']",Metazoa,Chordata,Mammalia,Primates,Hominidae,Pongo,Biota,Biota,Chordata,Primates,Primates
AJ251937.1,AJ251937.1,110944.0,Stork hepatitis B virus,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Avihepadnavirus,[8928],['Ciconia ciconia'],Metazoa,Chordata,Aves,Ciconiiformes,Ciconiidae,Ciconia,Biota,Biota,Chordata,Aves,Aves
AM282986.1,AM282986.1,10408.0,Hepatitis B virus subtype adw2,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
HE974372.1,HE974372.1,1219352.0,HBV genotype D4,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
HE974380.1,HE974380.1,2847138.0,hepatitis B virus genotype E,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Orthohepadnavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_001344.1,NC_001344.1,12639.0,Duck hepatitis B virus,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Avihepadnavirus,[8835],['Anas'],Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anas,Biota,Biota,Chordata,Aves,Aves
NC_001486.1,NC_001486.1,28300.0,Heron hepatitis B virus,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Avihepadnavirus,[8899],['Ardeidae'],Metazoa,Chordata,Aves,Pelecaniformes,Ardeidae,Unclassified,Biota,Biota,Chordata,Aves,Aves
NC_005888.1,NC_005888.1,259931.0,Ross's goose hepatitis B virus,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Avihepadnavirus,[56281],['Anser rossii'],Metazoa,Chordata,Aves,Anseriformes,Anatidae,Anser,Biota,Biota,Chordata,Aves,Aves
NC_005890.1,NC_005890.1,259898.0,Sheldgoose hepatitis B virus,Pararnavirae,Artverviricota,Revtraviricetes,Blubervirales,Hepadnaviridae,Avihepadnavirus,[8859],['Chloephaga'],Metazoa,Chordata,Aves,Anseriformes,Anatidae,Chloephaga,Biota,Biota,Chordata,Aves,Aves
