,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AF309418.1,AF309418.1,139270.0,Newcastle disease virus B1,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthoavulavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
AF338106.1,AF338106.1,11168.0,Mumps virus strain Jeryl Lynn,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthorubulavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
AF457102.1,AF457102.1,188538.0,Human parainfluenza virus 1 strain Washington/1964,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Respirovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
AJ880277.1,AJ880277.1,159079.0,Pigeon paramyxovirus 1,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthoavulavirus,[8930],['Columbidae'],Metazoa,Chordata,Aves,Columbiformes,Columbidae,Unclassified,Biota,Biota,Chordata,Aves,Aves
AY353550.1,AY353550.1,253182.0,Human Respiratory syncytial virus 9320,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
AY743910.1,AY743910.1,296738.0,Pneumonia virus of mice 15,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Pneumoviridae,Orthopneumovirus,[10090],['Mus musculus'],Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Biota,Biota,Chordata,Rodentia,Rodentia
EU627591.1,EU627591.1,11226.0,Human parainfluenza virus 4b,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Orthorubulavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
GU168576.1,GU168576.1,11241.0,Rinderpest morbillivirus,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,[9913],['Bos taurus'],Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
JN635402.1,JN635402.1,884093.0,Measles virus strain MVi/New York.USA/26.09/3,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Paramyxoviridae,Morbillivirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
KC519324.1,KC519324.1,1316453.0,Hybrid snakehead virus,Orthornavirae,Negarnaviricota,Monjiviricetes,Mononegavirales,Rhabdoviridae,Siniperhavirus,[413233],['Channa argus x Channa maculata'],Metazoa,Chordata,Actinopteri,Anabantiformes,Channidae,Channa,Biota,Biota,Chordata,Fish,Fish
