,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_001641.1,NC_001641.1,42478.0,Saccharomyces cerevisiae virus L-BC (La),Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,[4932],['Saccharomyces cerevisiae'],Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Biota,Biota,Fungi,,Fungi
NC_001963.1,NC_001963.1,73497.0,Sphaeropsis sapinea RNA virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[66738],['Diplodia sapinea'],Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Diplodia,Biota,Biota,Fungi,,Fungi
NC_003607.2,NC_003607.2,45237.0,Helminthosporium victoriae virus 190S,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[40125],['Bipolaris victoriae'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Biota,Biota,Fungi,,Fungi
NC_003745.1,NC_003745.1,11008.0,Saccharomyces cerevisiae virus L-A,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,[4932],['Saccharomyces cerevisiae'],Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Saccharomyces,Biota,Biota,Fungi,,Fungi
NC_003823.1,NC_003823.1,28882.0,Ustilago maydis virus H1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Totivirus,[5270],['Ustilago maydis'],Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Biota,Biota,Fungi,,Fungi
NC_003876.1,NC_003876.1,152217.0,Gremmeniella abietina RNA virus L1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[127520],['Gremmeniella abietina'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Godroniaceae,Gremmeniella,Biota,Biota,Fungi,,Fungi
NC_005074.1,NC_005074.1,196690.0,Helicobasidium mompa totivirus 1-17,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[54444],['Helicobasidium mompa'],Fungi,Basidiomycota,Pucciniomycetes,Helicobasidiales,Helicobasidiaceae,Helicobasidium,Biota,Biota,Fungi,,Fungi
NC_005978.1,NC_005978.1,164750.0,Helminthosporium victoriae 145S virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[40125],['Bipolaris victoriae'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Biota,Biota,Fungi,,Fungi
NC_005979.1,NC_005979.1,164750.0,Helminthosporium victoriae 145S virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[40125],['Bipolaris victoriae'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Biota,Biota,Fungi,,Fungi
NC_005980.1,NC_005980.1,164750.0,Helminthosporium victoriae 145S virus,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Chrysoviridae,Alphachrysovirus,[40125],['Bipolaris victoriae'],Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris,Biota,Biota,Fungi,,Fungi
NC_006367.1,NC_006367.1,271257.0,Magnaporthe oryzae virus 1,Orthornavirae,Duplornaviricota,Chrymotiviricetes,Ghabrivirales,Totiviridae,Victorivirus,[318829],['Pyricularia oryzae'],Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Biota,Biota,Fungi,,Fungi
