,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_000874.1,NC_000874.1,94290.0,Sugarcane yellow leaf virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[15819, 4547, 128810, 4546]","['Saccharum sp.', 'Saccharum officinarum', 'Saccharum hybrid cultivar', 'Saccharum']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Saccharum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001575.2,NC_001575.2,31744.0,Rice yellow mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001625.2,NC_001625.2,196398.0,Southern cowpea mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,"[3917, 3915, 3885, 3847]","['Vigna unguiculata', 'Vigna mungo', 'Phaseolus vulgaris', 'Glycine max']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001696.2,NC_001696.2,12470.0,Lucerne transient streak virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,"[78534, 3879]","['Trigonella foenum-graecum', 'Medicago sativa']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001747.1,NC_001747.1,12045.0,Potato leafroll virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[4113],['Solanum tuberosum'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002568.2,NC_002568.2,12558.0,Sesbania mosaic virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,[206309],['Sesbania grandiflora'],Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Sesbania,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002618.2,NC_002618.2,40979.0,Cocksfoot mottle virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Sobemovirus,"[4565, 4509]","['Triticum aestivum', 'Dactylis glomerata']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_002766.1,NC_002766.1,131082.0,Beet chlorosis virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[3719, 3562, 669655, 161934, 325515]","['Capsella bursa-pastoris', 'Spinacia oleracea', 'Blitum capitatum', 'Beta vulgaris', 'Spergula arvensis']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003491.1,NC_003491.1,156690.0,Beet mild yellowing virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,"[3719, 3721, 3562, 161934, 325515, 13274, 46146, 76276]","['Capsella bursa-pastoris', 'Crambe hispanica subsp. abyssinica', 'Spinacia oleracea', 'Beta vulgaris', 'Spergula arvensis', 'Stellaria media', 'Claytonia perfoliata', 'Senecio vulgaris']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003629.1,NC_003629.1,193121.0,Pea enation mosaic virus 1,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Enamovirus,"[3908, 3906, 60916, 3888, 70936, 3864, 3859, 3827]","['Vicia sativa', 'Vicia faba', 'Trifolium incarnatum', 'Pisum sativum', 'Medicago arabica', 'Lens culinaris', 'Lathyrus odoratus', 'Cicer arietinum']",Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003688.1,NC_003688.1,91753.0,Cucurbit aphid-borne yellows virus,Orthornavirae,Pisuviricota,Pisoniviricetes,Sobelivirales,Solemoviridae,Polerovirus,[3660],['Cucurbita'],Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Biota,Biota,Viridiplantae,,Viridiplantae
