,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AF389452.1,AF389452.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389453.1,AF389453.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389454.1,AF389454.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389456.1,AF389456.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389457.1,AF389457.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389458.1,AF389458.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389459.1,AF389459.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389460.1,AF389460.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389461.1,AF389461.1,165429.0,Lymantria dispar cypovirus 14,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
AF389462.1,AF389462.1,165803.0,Lymantria dispar cypovirus 1,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Cypovirus,[13123],['Lymantria dispar'],Metazoa,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,Biota,Biota,Invertebrate,,Invertebrate
