,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
L29010.1,L29010.1,40268.0,Cryphonectria hypovirus 2-NB58,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Alphahypovirus,[5116],['Cryphonectria parasitica'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria,Biota,Biota,Fungi,,Fungi
NC_000960.1,NC_000960.1,106962.0,Cryphonectria hypovirus 3,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Betahypovirus,[5116],['Cryphonectria parasitica'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria,Biota,Biota,Fungi,,Fungi
NC_001492.1,NC_001492.1,40281.0,Cryphonectria hypovirus 1,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Hypoviridae,Alphahypovirus,[5116],['Cryphonectria parasitica'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Cryphonectriaceae,Cryphonectria,Biota,Biota,Fungi,,Fungi
NC_002797.1,NC_002797.1,148880.0,Discula destructiva virus 1,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,Gammapartitivirus,[148313],['Discula destructiva'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Discula,Biota,Biota,Fungi,,Fungi
NC_002800.1,NC_002800.1,148880.0,Discula destructiva virus 1,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,Gammapartitivirus,[148313],['Discula destructiva'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Discula,Biota,Biota,Fungi,,Fungi
NC_003471.1,NC_003471.1,37961.0,Atkinsonella hypoxylon virus,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,Betapartitivirus,[47741],['Atkinsonella hypoxylon'],Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Atkinsonella,Biota,Biota,Fungi,,Fungi
NC_003710.1,NC_003710.1,160484.0,Discula destructiva virus 2,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,Gammapartitivirus,[148313],['Discula destructiva'],Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Discula,Biota,Biota,Fungi,,Fungi
NC_003874.1,NC_003874.1,114871.0,Zygosaccharomyces bailii virus Z,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Amalgaviridae,Zybavirus,"[4954, 4932]","['Zygosaccharomyces bailii', 'Saccharomyces cerevisiae']",Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Unclassified,Biota,Biota,Fungi,,Fungi
NC_003886.1,NC_003886.1,1511847.0,Fusarium solani virus 1,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,Gammapartitivirus,"[169388, 2747958]","['Fusarium solani', 'Fusarium silvicola']",Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Biota,Biota,Fungi,,Fungi
NC_004018.1,NC_004018.1,191436.0,Gremmeniella abietina RNA virus MS1,Orthornavirae,Pisuviricota,Duplopiviricetes,Durnavirales,Partitiviridae,Gammapartitivirus,[127520],['Gremmeniella abietina'],Fungi,Ascomycota,Leotiomycetes,Helotiales,Godroniaceae,Gremmeniella,Biota,Biota,Fungi,,Fungi
