,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AB073912.1,AB073912.1,63421.0,Swine hepatitis E virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Hepeviridae,Paslahepevirus,[9823],['Sus scrofa'],Metazoa,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Biota,Biota,Chordata,Artiodactyla,Artiodactyla
AB593690.1,AB593690.1,509628.0,Hepatitis E virus type 3,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Hepeviridae,Paslahepevirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_001545.2,NC_001545.2,11041.0,Rubella virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Matonaviridae,Rubivirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_001981.1,NC_001981.1,37206.0,Helicoverpa armigera stunt virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Alphatetraviridae,Omegatetravirus,[29058],['Helicoverpa armigera'],Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Biota,Biota,Invertebrate,,Invertebrate
NC_001982.1,NC_001982.1,37206.0,Helicoverpa armigera stunt virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Alphatetraviridae,Omegatetravirus,[29058],['Helicoverpa armigera'],Metazoa,Arthropoda,Insecta,Lepidoptera,Noctuidae,Helicoverpa,Biota,Biota,Invertebrate,,Invertebrate
NC_001990.1,NC_001990.1,85652.0,Nudaurelia capensis beta virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Alphatetraviridae,Betatetravirus,"[1337361, 2059211, 7088]","['Nudaurelia', 'Gonimbrasia cytherea', 'Lepidoptera']",Metazoa,Arthropoda,Insecta,Lepidoptera,Unclassified,Unclassified,Biota,Biota,Invertebrate,,Invertebrate
NC_003513.1,NC_003513.1,31721.0,Beet necrotic yellow vein virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Benyviridae,Benyvirus,"[343494, 45318]","['Beta macrocarpa', 'Tetragonia tetragonoides']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003516.1,NC_003516.1,31721.0,Beet necrotic yellow vein virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Benyviridae,Benyvirus,"[3562, 161934, 343494, 45318]","['Spinacia oleracea', 'Beta vulgaris', 'Beta macrocarpa', 'Tetragonia tetragonoides']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_003517.1,NC_003517.1,31721.0,Beet necrotic yellow vein virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Benyviridae,Benyvirus,"[3562, 161934, 343494, 45318]","['Spinacia oleracea', 'Beta vulgaris', 'Beta macrocarpa', 'Tetragonia tetragonoides']",Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_005898.1,NC_005898.1,272751.0,Dendrolimus punctatus virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Alphatetraviridae,Omegatetravirus,[238572],['Dendrolimus punctatus'],Metazoa,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Dendrolimus,Biota,Biota,Invertebrate,,Invertebrate
NC_005899.1,NC_005899.1,272751.0,Dendrolimus punctatus virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Alphatetraviridae,Omegatetravirus,[238572],['Dendrolimus punctatus'],Metazoa,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Dendrolimus,Biota,Biota,Invertebrate,,Invertebrate
NC_021735.1,NC_021735.1,1324959.0,Burdock mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Benyviridae,Benyvirus,"[63459, 4217]","['Chenopodium quinoa', 'Arctium lappa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_021736.1,NC_021736.1,1324959.0,Burdock mottle virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Benyviridae,Benyvirus,"[63459, 4217]","['Chenopodium quinoa', 'Arctium lappa']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_023425.1,NC_023425.1,2907992.0,Avian hepatitis E virus,Orthornavirae,Kitrinoviricota,Alsuviricetes,Hepelivirales,Hepeviridae,Avihepevirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
