,y|acc,y|virus taxid,y|virus name,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
AF038044.1,AF038044.1,135757.0,Defective interfering RNA-5 of tomato bushy stunt virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[4097, 81866, 4100]","['Nicotiana tabacum', 'Nicotiana clevelandii', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
JN700748.1,JN700748.1,167947.0,Lettuce necrotic stunt virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[4100],['Nicotiana benthamiana'],Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana,Biota,Biota,Viridiplantae,,Viridiplantae
KC166239.1,KC166239.1,1291658.0,Rose yellow leaf virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Unclassified,"[36598, 3764]","['Rosa sp.', 'Rosa']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rosa,Biota,Biota,Viridiplantae,,Viridiplantae
NC_000939.2,NC_000939.2,44562.0,Pothos latent virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Aureusvirus,"[78380, 4100]","['Epipremnum aureum', 'Nicotiana benthamiana']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001265.2,NC_001265.2,11986.0,Carnation mottle virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphacarmovirus,"[3750, 3681, 3572, 288950, 118431, 3570, 278075]","['Malus domestica', 'Begonia', 'Saponaria officinalis', 'Dianthus superbus', 'Dianthus chinensis', 'Dianthus caryophyllus', 'Dianthus barbatus']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001469.1,NC_001469.1,12143.0,Cucumber necrosis virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,[3659],['Cucumis sativus'],Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001504.1,NC_001504.1,11987.0,Melon necrotic spot virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Gammacarmovirus,"[3659, 3656]","['Cucumis sativus', 'Cucumis melo']",Viridiplantae,Streptophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucumis,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001554.1,NC_001554.1,12145.0,Tomato bushy stunt virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,"[13305, 29777, 3766, 3749, 4111, 4081, 4072]","['Tulipa', 'Tolmiea menziesii', 'Pyrus', 'Malus', 'Solanum melongena', 'Solanum lycopersicum', 'Capsicum annuum']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001721.1,NC_001721.1,47669.0,Olive latent virus 1,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Alphanecrovirus,"[4100, 4145]","['Nicotiana benthamiana', 'Olea']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_001726.1,NC_001726.1,47736.0,Carrot mottle mimic virus,Orthornavirae,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Umbravirus,"[81866, 4039]","['Nicotiana clevelandii', 'Daucus carota']",Viridiplantae,Streptophyta,Magnoliopsida,Unclassified,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
